folder,slug,bucket,candidate_tags,signals,status,contributed,target_skill
zymo_quick-rna_flex_96-cells,Zymo_Quick-RNA_Flex_96-Cells,bead-cleanup,"bead-cleanup,reagent-distribution,simple-transfer,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=flex_96channel,amended,adds lysis/DNase/neutralization steps and multiple distinct wash buffer roles to the bead workflow,family-bead-cleanup-ampure
wo-3308,WO-3308,serial-dilution,"serial-dilution,reagent-distribution,plate-reformatting",pipettes=_multi,nothing-new,-,family-serial-dilution
invitrogen_elisa_targetcapture,invitrogen_elisa_targetcapture,elisa,"elisa,purification,simple-transfer,new:absorbance-read,new:washing",modules=heatershakermodulev1|temperature module gen2; pipettes=flex_8channel,nothing-new,-,family-elisa
ulaval,ulaval,plate-reformatting,"plate-reformatting,simple-transfer",pipettes=_multi,nothing-new,-,family-plate-reformatting
idt-xgen-ez-48x,IDT-xGen-EZ-48x,ngs-library-prep,"ngs-library-prep,pcr-setup,reagent-distribution,new:washing",modules=flexstackermodulev1|heatershakermodulev1|temperature module gen2|thermocycler module gen2,nothing-new,-,family-ngs-library-prep
7062c9,7062c9,normalization,"normalization,simple-transfer",pipettes=_multi|_single,nothing-new,-,family-normalize-to-target
kapa-hyperprep-kit-for-ot2,KAPA-HyperPrep-Kit-for-OT2,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,new:washing",modules=magnetic module gen2|temperature module gen2|thermocycler module; pipettes=_multi,nothing-new,-,family-ngs-library-prep
dna_extraction_buffer_a,dna_extraction_buffer_a,reagent-distribution,"bead-cleanup,reagent-distribution,simple-transfer,new:washing",pipettes=_multi,nothing-new,-,family-reagent-distribution
hdq_dna_flex_96-bacteria,HDQ_DNA_Flex_96-Bacteria,bead-cleanup,"bead-cleanup,new:washing,new:blood-clinical",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=96channel|flex_96channel,nothing-new,-,family-bead-cleanup-ampure
protein_digest_lcms,protein_digest_lcms,protein-assay,"pcr-setup,purification,simple-transfer",modules=thermocycler module gen2; pipettes=flex_8channel,out-of-scope,"enzymatic digestion workflow with multi-step incubations and chemical treatments, not a colorimetric quantitation assay",family-protein-assay
broth_dispense,broth_dispense,reagent-distribution,"reagent-distribution,simple-transfer",pipettes=_multi,nothing-new,-,family-reagent-distribution
cell_viability_and_cytotoxicity_assay_a549_cells,cell_viability_and_cytotoxicity_assay_A549_cells,cell-seeding,"cell-seeding,reagent-distribution,simple-transfer,new:absorbance-read",modules=heatershakermodulev1; pipettes=_single,out-of-scope,downstream viability/cytotoxicity assay workflow requiring sequential reagent addition and heater-shaker incubation cycles,family-cell-seeding
zymo-quick-dna-fecal-microbe-96-partial-column,zymo-quick-dna-fecal-microbe-96-partial-column,bead-cleanup,"pcr-setup,bead-cleanup,reagent-distribution,simple-transfer,new:washing",modules=magneticblockv1|module_name|thermocyclermodulev2; pipettes=96-channel|flex_96channel,nothing-new,-,family-bead-cleanup-ampure
pcr-csv-16,pcr-csv-16,pcr-setup,"pcr-setup,reagent-distribution,simple-transfer",modules=temperature module gen2; pipettes=_multi|_single|flex_8channel,nothing-new,-,family-pcr-setup
rt_pcr_prep,RT_PCR_Prep,pcr-setup,"pcr-setup,reagent-distribution,simple-transfer,new:washing",pipettes=_single,nothing-new,-,family-pcr-setup
pcr_prep_part_1,pcr_prep_part_1,pcr-setup,"pcr-setup,reagent-distribution,simple-transfer",pipettes=_single,nothing-new,-,family-pcr-setup
illumina-dna-prep-48x,Illumina-DNA-Prep-48x,ngs-library-prep,"ngs-library-prep,pcr-setup,reagent-distribution,new:washing",-,nothing-new,-,family-ngs-library-prep
sci-amplex-red,sci-amplex-red,new-family-candidate,"new:absorbance-read,new:blood-clinical",modules=temperature module; pipettes=_single,pending,-,
custom-dilution-from-csv,custom-dilution-from-csv,normalization,"normalization,reagent-distribution,simple-transfer",-,nothing-new,-,family-normalize-to-target
c18_peptide_purification,c18_peptide_purification,purification,"purification,normalization",-,nothing-new,-,family-purification
quickr_2,quickr_2,plate-reformatting,plate-reformatting,pipettes=flex_96channel,nothing-new,-,family-plate-reformatting
cell_viability_and_cytotoxicity_assay_k562_cells,cell_viability_and_cytotoxicity_assay_K562_cells,cell-seeding,"cell-seeding,reagent-distribution,simple-transfer,new:absorbance-read,new:blood-clinical",modules=heatershakermodulev1; pipettes=_single,nothing-new,-,family-cell-seeding
customizable_serial_dilution_flex,customizable_serial_dilution_flex,serial-dilution,"serial-dilution,simple-transfer",pipettes=flex_8channel,nothing-new,-,family-serial-dilution
flowratevolumetestprotocol_v1,flowratevolumetestprotocol_v1,simple-transfer,simple-transfer,pipettes=_multi|_single,nothing-new,-,family-simple-transfer
dna-normalization-flex-pipettes,dna-normalization-flex-pipettes,normalization,"normalization,simple-transfer,new:absorbance-read",pipettes=flex_8channel,nothing-new,-,family-normalize-to-target
easypep_digest_tmt,easypep_digest_tmt,protein-assay,pcr-setup,modules=thermocycler module gen2; pipettes=flex_8channel,out-of-scope,"magnetic bead-based sample prep and TMT labeling workflow, distinct from plate-based colorimetric assays",family-protein-assay
blood-fix-transfer,blood-fix-transfer,simple-transfer,"simple-transfer,new:staining,new:blood-clinical",modules=heatershakermodulev1; pipettes=_single,nothing-new,-,family-simple-transfer
qiaseq-normalizer-workflow-a-48x,QIAseq-Normalizer-Workflow-A-48x,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,normalization,reagent-distribution,new:washing",-,nothing-new,-,family-ngs-library-prep
pierce-bradford-protein-assay,pierce-bradford-protein-assay,protein-assay,"protein-assay,plate-reformatting,simple-transfer,new:absorbance-read,new:blood-clinical",modules=heatershakermodulev1; pipettes=_single,nothing-new,-,family-protein-assay
kapahyperplus,kapahyperplus,ngs-library-prep,"ngs-library-prep,pcr-setup",modules=heatershakermodulev1|magneticblockv1|temperature module gen2|thermocycler module gen2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
020194-part1,020194-part1,simple-transfer,"simple-transfer,new:staining",modules=module_name; pipettes=_single,nothing-new,-,family-simple-transfer
protocol2_scale_biosciences_single_cell_met_large_kit,protocol2_Scale_Biosciences_single_cell_Met_large_kit,bead-cleanup,"pcr-setup,new:washing",modules=magneticblockv1|temperature module gen2|thermocycler module gen2; pipettes=_single|flex_8channel,nothing-new,-,family-bead-cleanup-ampure
qiaseq-fx-normalizer-workflow-b-48x,QIAseq-FX-Normalizer-Workflow-B-48x,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,normalization,reagent-distribution,new:washing",-,nothing-new,-,family-ngs-library-prep
opentrons_logo,opentrons_logo,simple-transfer,"reagent-distribution,simple-transfer",-,nothing-new,-,family-simple-transfer
normalization_with_csv,normalization_with_csv,normalization,"ngs-library-prep,normalization,plate-reformatting,simple-transfer",-,nothing-new,-,family-normalize-to-target
mn_rna_flex_multi,MN_RNA_Flex_Multi,bead-cleanup,"bead-cleanup,purification,reagent-distribution,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=_multi|flex_8channel,nothing-new,-,family-bead-cleanup-ampure
sci-lucif-assay1,sci-lucif-assay1,cell-seeding,"cell-seeding,simple-transfer,new:absorbance-read,new:blood-clinical",pipettes=_multi,nothing-new,-,family-cell-seeding
macherey-nagel-nucleomag-clean-up,macherey-nagel-nucleomag-clean-up,bead-cleanup,"bead-cleanup,simple-transfer,new:washing",modules=magnetic module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
pcr-prep,pcr-prep,pcr-setup,"pcr-setup,simple-transfer",modules=module_name; pipettes=_single,nothing-new,-,family-pcr-setup
cherrypicking_custom_csv,cherrypicking_custom_csv,cherrypicking,cherrypicking,-,nothing-new,-,family-cherrypicking
006uv00000bemutyat_p1,006UV00000BEmuTYAT_p1,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,simple-transfer,new:washing",-,nothing-new,-,family-ngs-library-prep
wsu-normalization-no-mix-draft,wsu-normalization-no-mix-draft,normalization,normalization,modules=temperature module gen2; pipettes=_single,nothing-new,-,family-normalize-to-target
ptcl-1112,PTCL-1112,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,reagent-distribution,simple-transfer,new:washing",-,nothing-new,-,family-ngs-library-prep
006uv00000bemutyat_p4,006UV00000BEmuTYAT_p4,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,simple-transfer,new:washing",-,nothing-new,-,family-ngs-library-prep
ligseq,ligseq,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup",modules=heatershakermodulev1|module_name|temperature module gen2|thermocycler module gen2,nothing-new,-,family-ngs-library-prep
sci-lucif-assay4,sci-lucif-assay4,protein-assay,"elisa,cell-seeding,simple-transfer,new:absorbance-read,new:washing",pipettes=_multi,nothing-new,-,family-protein-assay
4082,4082,simple-transfer,simple-transfer,-,nothing-new,-,family-simple-transfer
ptcl-1018-5,PTCL-1018-5,bead-cleanup,"bead-cleanup,reagent-distribution,simple-transfer,new:washing",modules=magneticblockv1; pipettes=flex_8channel,nothing-new,-,family-bead-cleanup-ampure
020194-part2,020194-part2,cherrypicking,"simple-transfer,new:staining",modules=module_name; pipettes=_multi|_single,nothing-new,-,family-cherrypicking
rtp-96-ch-demo,rtp-96-ch-demo,bead-cleanup,"bead-cleanup,simple-transfer,new:washing",modules=magneticblockv1; pipettes=96-channel|flex_96channel,nothing-new,-,family-bead-cleanup-ampure
illumina-dna-prep-pcr-free,Illumina-DNA-Prep-PCR-Free,ngs-library-prep,"ngs-library-prep,pcr-setup,new:washing,new:blood-clinical",modules=heatershakermodulev1|magneticblockv1|temperature module gen2|thermocycler module gen2,nothing-new,-,family-ngs-library-prep
macherey-nagel-nucleomag-size-select,macherey-nagel-nucleomag-size-select,ngs-library-prep,"ngs-library-prep,bead-cleanup,simple-transfer,new:washing",modules=magnetic module gen2; pipettes=_multi,nothing-new,-,family-ngs-library-prep
00d445_1,00d445_1,reagent-distribution,"normalization,simple-transfer",pipettes=96channel|flex_96channel,nothing-new,-,family-reagent-distribution
dna-sample-normalization,dna-sample-normalization,normalization,"normalization,reagent-distribution,simple-transfer",modules=module_name; pipettes=_single,nothing-new,-,family-normalize-to-target
primer-dilution,primer-dilution,reagent-distribution,"reagent-distribution,simple-transfer",-,nothing-new,-,family-reagent-distribution
imac-by-ni-nta-magnetic-agarose-beads-on-flex-plate-preparation,imac-by-ni-nta-magnetic-agarose-beads-on-flex-plate-preparation,purification,"purification,reagent-distribution,new:washing,new:colony-agar",modules=heatershakermodulev1; pipettes=flex_8channel,new-skill,magnetic bead affinity purification with magnet rack separation & bead slurry distribution,family-bead-affinity-capture
ptcl-921-4,PTCL-921-4,ngs-library-prep,"ngs-library-prep,pcr-setup,new:washing",modules=magneticblockv1|temperature module gen2|thermocyclermodulev2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
qiaseq-mirna-48x,QIAseq-miRNA-48x,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,normalization,reagent-distribution",-,nothing-new,-,family-ngs-library-prep
staining,staining,elisa,"reagent-distribution,new:staining",pipettes=96channel|flex_96channel,out-of-scope,"adherent cell immunostaining/IF workflow, not plate-based ELISA immunoassay",family-elisa
immunoprecipitation-by-dynabeads-on-flex-96ch,immunoprecipitation-by-dynabeads-on-flex-96ch,bead-cleanup,"bead-cleanup,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=96channel|flex_96channel,new-skill,"adds antibody binding phase, extended incubation variable, and protein-specific elution/heating step",family-bead-affinity-capture
bradford_protein_assay,bradford_protein_assay,protein-assay,"protein-assay,purification,serial-dilution,plate-reformatting",modules=heatershakermodulev1; pipettes=flex_8channel,nothing-new,-,family-protein-assay
dna_extraction_buffer_b,dna_extraction_buffer_b,reagent-distribution,"bead-cleanup,reagent-distribution,simple-transfer,new:washing",pipettes=_multi,nothing-new,-,family-reagent-distribution
invitrogen_elisa_signaldevelopment,invitrogen_elisa_signaldevelopment,elisa,"elisa,purification,simple-transfer,new:absorbance-read,new:washing",modules=heatershakermodulev1; pipettes=flex_8channel,nothing-new,-,family-elisa
twist-ef-2_0,Twist-EF-2_0,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,purification,reagent-distribution,simple-transfer",modules=magneticblockv1|temperature module gen2|thermocycler module gen2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
robo_pt2,robo_pt2,ngs-library-prep,"ngs-library-prep,pcr-setup,simple-transfer,new:washing",modules=magneticblockv1|temperature module gen2|thermocyclermodulev2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
illumina-dna-prep-24x-for-ot2,Illumina-DNA-Prep-24x-for-OT2,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,new:washing",modules=magnetic module gen2|temperature module gen2|thermocycler module; pipettes=_multi,nothing-new,-,family-ngs-library-prep
gsdx,gsdx,pcr-setup,reagent-distribution,modules=temperature module gen2; pipettes=_multi|_single,nothing-new,-,family-pcr-setup
zymo_magbead_dna_flex_multi-cells,Zymo_Magbead_DNA_Flex_Multi-Cells,bead-cleanup,"bead-cleanup,reagent-distribution,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=_multi|flex_8channel,nothing-new,-,family-bead-cleanup-ampure
kapa-library-quant-48x,KAPA-Library-Quant-48x,pcr-setup,"ngs-library-prep,pcr-setup,reagent-distribution,plate-reformatting,new:washing",-,amended,"adds stepwise sample dilution, standard curve dispensing, and 96/384 format switching with multi-replicate volume splitting",family-pcr-setup
2bba96,2bba96,cherrypicking,"normalization,cherrypicking,reagent-distribution,simple-transfer",pipettes=_single,amended,adds buffer pre-fill phase and volume-threshold pipette selection logic,family-cherrypicking
immunoprecipitation-by-dynabeads-on-flex-reagents-in-15-ml-tubes,immunoprecipitation-by-dynabeads-on-flex-reagents-in-15-ml-tubes,bead-cleanup,"elisa,bead-cleanup,reagent-distribution,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=flex_8channel,new-skill,affinity-capture workflow with antibody incubation step and conditional elution path,family-bead-affinity-capture
spri-beads-dna-extraction,spri-beads-dna-extraction,purification,"pcr-setup,bead-cleanup,new:washing",modules=heatershakermodulev1|magnetic module gen2; pipettes=_multi,nothing-new,-,family-purification
protein_quant,protein_quant,protein-assay,"protein-assay,normalization,new:absorbance-read",modules=absorbancereaderv1|heatershakermodulev1,nothing-new,-,family-protein-assay
ampure-xp-48x,AMPure-XP-48x,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,purification,reagent-distribution",-,nothing-new,-,family-ngs-library-prep
promega_cell_viability,promega_cell_viability,protein-assay,"cell-seeding,simple-transfer,new:absorbance-read",-,nothing-new,-,family-protein-assay
274d2a,274d2a,cherrypicking,"cherrypicking,cell-seeding,simple-transfer",pipettes=_multi|_single,nothing-new,-,family-cherrypicking
mn_dna_flex_multi-cells,MN_DNA_Flex_Multi-Cells,bead-cleanup,"bead-cleanup,purification,reagent-distribution,new:washing",modules=heatershakermodulev1|temperature module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
evercode-whole-transcriptomewt-kit-parse-biosciences-protocol2,evercode-whole-transcriptomeWT-kit-Parse-Biosciences-protocol2,ngs-library-prep,"pcr-setup,bead-cleanup,purification,reagent-distribution,new:absorbance-read,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2|thermocycler module gen2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
019d4d_2,019d4d_2,pooling,"normalization,pooling,simple-transfer",pipettes=_multi,amended,worklist-driven per-well distinct volumes for normalization and pooling,family-pooling
4084,4084,normalization,"reagent-distribution,simple-transfer",pipettes=_multi|flex_8channel,nothing-new,-,family-normalize-to-target
sigdx-pt2,sigdx-pt2,ngs-library-prep,"simple-transfer,new:washing",modules=magneticblockv1|temperature module gen2,nothing-new,-,family-ngs-library-prep
ptcl-1155-2,PTCL-1155-2,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,simple-transfer,new:washing",modules=magneticblockv1|temperaturemodulev2|thermocyclermodulev2,nothing-new,-,family-ngs-library-prep
takara_infusion_assembly_ot2,takara_infusion_assembly_ot2,pcr-setup,"pcr-setup,reagent-distribution",pipettes=_multi,nothing-new,-,family-pcr-setup
magnesil_rna_ot2,MagneSil_RNA_OT2,bead-cleanup,"pcr-setup,bead-cleanup,cell-seeding,reagent-distribution,simple-transfer,new:washing",modules=heatershakermodulev1|magnetic module gen1|magnetic module gen2|temperature module gen2; pipettes=_multi,amended,on-bead enzymatic treatment (DNase I digestion + neutralization) between wash cycles,family-bead-cleanup-ampure
6d901d-2,6d901d-2,cherrypicking,"normalization,cherrypicking,reagent-distribution,simple-transfer",pipettes=_multi,nothing-new,-,family-cherrypicking
hdq_dna_ot2-saliva,HDQ_DNA_OT2-Saliva,bead-cleanup,"bead-cleanup,simple-transfer,new:washing,new:blood-clinical",modules=heatershakermodulev1|magnetic module gen1|magnetic module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
sci-omegabiotek-magbind,sci-omegabiotek-magbind,bead-cleanup,"bead-cleanup,purification,simple-transfer,new:washing,new:blood-clinical",modules=mag_gen|temperature module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
4e4c0c,4e4c0c,reagent-distribution,"bead-cleanup,simple-transfer,new:washing",pipettes=_multi,nothing-new,-,family-reagent-distribution
easypep_cleanup,easypep_cleanup,new-family-candidate,new:washing,modules=heatershakermodulev1|magneticblockv1; pipettes=flex_8channel,pending,-,
robo_pt1,robo_pt1,ngs-library-prep,"ngs-library-prep,pcr-setup,simple-transfer,new:washing",modules=magneticblockv1|temperature module gen2|thermocyclermodulev2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
pcr-csv,pcr-csv,pcr-setup,"pcr-setup,reagent-distribution,simple-transfer",modules=temperature module gen2; pipettes=_multi|_single|flex_8channel,nothing-new,-,family-pcr-setup
ptcl-921-3,PTCL-921-3,ngs-library-prep,"ngs-library-prep,pcr-setup",modules=magneticblockv1|temperature module gen2|thermocyclermodulev2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
qrt-pcrsetup_from_csv_part1,qRT-PCRSetup_From_CSV_part1,normalization,"pcr-setup,normalization,reagent-distribution,simple-transfer",modules=temperature module gen2; pipettes=_single,nothing-new,-,family-normalize-to-target
pcr_amplification,pcr_amplification,pcr-setup,pcr-setup,pipettes=_single,nothing-new,-,family-pcr-setup
bca_assay,bca_assay,protein-assay,"protein-assay,simple-transfer,new:absorbance-read",-,nothing-new,-,family-protein-assay
cherry,cherry,cherrypicking,"cherrypicking,simple-transfer",pipettes=_multi,nothing-new,-,family-cherrypicking
sp3_sample_prep,sp3_sample_prep,bead-cleanup,bead-cleanup,-,new-skill,multi-step bead-bound chemical processing workflow with dual-bead-type mixing and sequential reagent incubations,family-bead-affinity-capture
sanger-seq-prep,sanger-seq-prep,pcr-setup,"pcr-setup,simple-transfer",modules=module_name; pipettes=_single,nothing-new,-,family-pcr-setup
idt-xgen-ez-24x-for-ot2,IDT-xGen-EZ-24x-for-OT2,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,new:washing",modules=magnetic module gen2|temperature module gen2|thermocycler module; pipettes=_multi,nothing-new,-,family-ngs-library-prep
uminn,uminn,ngs-library-prep,pcr-setup,modules=thermocyclermodulev2; pipettes=flex_96channel,nothing-new,-,family-ngs-library-prep
evercode-whole-transcriptomewt-kit-parse-biosciences-protocol1,evercode-whole-transcriptomeWT-kit-Parse-Biosciences-protocol1,ngs-library-prep,"pcr-setup,pooling,new:staining,new:washing",modules=temperature module gen2|thermocycler module gen2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
illumina-nextera-xt-library-prep-part1,illumina-nextera-xt-library-prep-part1,ngs-library-prep,"ngs-library-prep,pcr-setup,normalization,pooling,simple-transfer",pipettes=_multi|_single,nothing-new,-,family-ngs-library-prep
ptcl-1018-1,PTCL-1018-1,ngs-library-prep,"pcr-setup,simple-transfer",modules=temperaturemodulev2|thermocyclermodulev2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
ecoli-transformation-recovery,ecoli-transformation-recovery,cell-seeding,"reagent-distribution,simple-transfer",modules=module_name; pipettes=_single,out-of-scope,"bacterial transformation workflow requiring temperature control and mixing, outside mammalian cell seeding scope",family-cell-seeding
evercode-whole-transcriptomewt-kit-parse-biosciences-protocol3,evercode-whole-transcriptomeWT-kit-Parse-Biosciences-protocol3,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,purification,reagent-distribution,new:absorbance-read",modules=heatershakermodulev1|magneticblockv1|temperature module gen2|thermocycler module gen2; pipettes=flex_8channel,nothing-new,-,family-ngs-library-prep
ptcl-1018-2,PTCL-1018-2,pcr-setup,"pcr-setup,reagent-distribution,simple-transfer",modules=temperature module gen2|thermocyclermodulev2; pipettes=flex_8channel,nothing-new,-,family-pcr-setup
ptcl-969-pooling,ptcl-969-pooling,pooling,"ngs-library-prep,normalization,pooling,reagent-distribution,simple-transfer",pipettes=flex_8channel,nothing-new,-,family-pooling
cmu_colony_picking,cmu_colony_picking,cherrypicking,"simple-transfer,new:colony-agar",pipettes=_single,nothing-new,-,family-cherrypicking
transient_transfection_of_helacells_protocol_2,transient_transfection_of_HeLacells_Protocol_2,cell-seeding,"pcr-setup,cell-seeding,plate-reformatting,simple-transfer,new:absorbance-read,new:blood-clinical",modules=heatershakermodulev1; pipettes=_single,out-of-scope,"transient transfection workflow involving reagent complex preparation and post-dispense shaking, beyond simple cell seeding",family-cell-seeding
zymo-quick-dna-magbead-plus-kit,zymo-quick-dna-magbead-plus-kit,purification,"pcr-setup,bead-cleanup,simple-transfer,new:washing,new:blood-clinical",modules=magneticblockv1|temperature module gen2|thermocyclermodulev2; pipettes=96-channel|flex_96channel,nothing-new,-,family-purification
zymo_magbead_dna_flex_96-cells,Zymo_Magbead_DNA_Flex_96-Cells,bead-cleanup,"bead-cleanup,reagent-distribution,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=96channel|flex_96channel,nothing-new,-,family-bead-cleanup-ampure
0000025894,0000025894,protein-assay,protein-assay,modules=heatershakermodulev1|temperature module gen2; pipettes=_single,nothing-new,-,family-protein-assay
macherey-nagel-nucleomag-rna,macherey-nagel-nucleomag-rna,bead-cleanup,"pcr-setup,bead-cleanup,simple-transfer,new:washing",modules=magnetic module gen2; pipettes=_multi|_single,nothing-new,-,family-bead-cleanup-ampure
cell_seeding_up_to_4,cell_seeding_up_to_4,cell-seeding,cell-seeding,pipettes=_single,nothing-new,-,family-cell-seeding
csv_transfer,csv_transfer,cherrypicking,"reagent-distribution,simple-transfer",pipettes=_single,nothing-new,-,family-cherrypicking
sci-neb-next-ultra,sci-neb-next-ultra,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,new:washing",modules=magnetic module gen2|temperature module gen2|thermocycler module; pipettes=_multi,nothing-new,-,family-ngs-library-prep
